Unique Specimen Number,Label Date,Site,Display Date,Station,Collection Method,Specimen Kind ,Order,Family,Genus,Subgenus,Species,Subspecies,Nr.,Label Name,Short label name,Sex,Vial Duplicates,Voucher Specimen,Questionable or Incomplete Identification,Broken Specimen,Entered by,Entered Date,NOTES,Count,18,Jgardner
7279,20190731,POS,30/Jul/2015,POS21,T,P,,,Megachile,Xanthosarus,perihirta,,,Megachile (Xanthosarus) perihirta,Megachile perihirta,F,,,,,WRP,42322,,1,0,0
7280,20190731,POS,30/Jul/2015,POS21,T,P,,,Megachile,Xanthosarus,perihirta,,,Megachile (Xanthosarus) perihirta,Megachile perihirta,F,,,,,WRP,42322,,1,0,0
7281,20190731,POS,30/Jul/2015,POS21,T,P,,,Megachile,Megachile,montivaga,,,Megachile (Megachile) montivaga,Megachile montivaga,F,,,,,WRP,42322,,1,0,0
7282,20190731,POS,30/Jul/2015,POS21,T,P,,,Megachile,Megachile,montivaga,,,Megachile (Megachile) montivaga,Megachile montivaga,F,,,,,WRP,42322,,1,0,0
7283,20190731,POS,30/Jul/2015,POS21,T,P,,,Coelioxys,Boreocoelioxys,rufitarsis,,,Coelioxys (Boreocoelioxys) rufitarsis,Coelioxys rufitarsis,M,,,,,WRP,42322,,1,0,0
7284,20190731,POS,30/Jul/2015,POS21,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,F,,,,,WRP,42322,,1,0,0
7285,20190731,POS,30/Jul/2015,POS21,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,F,,,,,WRP,42322,,1,0,0
7286,20190731,POS,30/Jul/2015,POS21,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,M,,,,,WRP,42322,,1,0,0
7287,20190731,POS,30/Jul/2015,POS21,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,M,,,,,WRP,42322,,1,0,0
7288,20190731,POS,30/Jul/2015,POS21,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,M,,,,,WRP,42322,,1,0,0
7289,20190731,POS,30/Jul/2015,POS25,T,P,,,Halictus,Protohalictus,rubicundus,,,Halictus (Protohalictus) rubicundus,Halictus rubicundus,M,,,,,WRP,42322,,1,0,0
7290,20190731,POS,30/Jul/2015,POS25,T,P,,,Halictus,Protohalictus,rubicundus,,,Halictus (Protohalictus) rubicundus,Halictus rubicundus,M,,,,,WRP,42322,,1,0,0
7291,20190731,POS,30/Jul/2015,POS25,T,P,,,Halictus,Protohalictus,rubicundus,,,Halictus (Protohalictus) rubicundus,Halictus rubicundus,M,,,,,WRP,42322,,1,0,0
7292,20190731,POS,30/Jul/2015,POS25,T,P,,,Halictus,Protohalictus,rubicundus,,,Halictus (Protohalictus) rubicundus,Halictus rubicundus,M,,,,,WRP,42322,,1,0,0
7293,20190731,POS,30/Jul/2015,POS25,T,P,,,Halictus,Protohalictus,rubicundus,,,Halictus (Protohalictus) rubicundus,Halictus rubicundus,M,,,,,WRP,42322,,1,0,0
7294,20190731,POS,30/Jul/2015,POS25,T,P,,,Lasioglossum,Sphecodogastra,cooleyi,,Y,Lasioglossum (Sphecodogastra) nr. cooleyi,Lasioglossum cooleyi,F,,,,,WRP,42322,corrected from L. (Evylaeus) sp. [EAS 20230427],1,0,0
